vminvol,vmaxvol,pwfreqc,pwfreqa
61,65,13,1
66,70,14,1
71,75,15,1
76,80,16,1
81,85,17,1
86,90,18,1
91,95,19,1
96,100,20,1
101,105,21,2
106,110,22,2
111,115,23,2
116,120,24,2
121,125,25,2
126,130,26,2
131,135,27,2
136,140,28,2
141,145,29,2
146,150,30,2
151,155,31,2
156,160,32,2
161,165,33,2
166,170,34,2
171,175,35,2
176,180,36,2
181,185,37,2
186,190,38,2
191,195,39,2
196,200,40,2
201,205,41,3
206,210,42,3
211,215,43,3
216,220,44,3
221,225,45,3
226,230,46,3
231,235,47,3
236,240,48,3
241,245,49,3
246,250,50,3
251,255,51,3
256,260,52,3
261,265,53,3
266,270,54,3
271,275,55,3
276,280,56,3
281,285,57,3
286,290,58,3
291,295,59,3
296,300,60,3
301,305,61,4
306,310,62,4
311,315,63,4
316,320,64,4
321,325,65,4
326,330,66,4
331,335,67,4
336,340,68,4
341,345,69,4
346,350,70,4
351,355,71,4
356,360,72,4
361,365,73,4
366,370,74,4
371,375,75,4
376,380,76,4
381,385,77,4
386,390,78,4
391,395,79,4
396,400,80,4
401,405,81,5
406,410,82,5
411,415,83,5
416,420,84,5
421,425,85,5
426,430,86,5
431,435,87,5
436,440,88,5
441,445,89,5
446,450,90,5
451,455,91,5
456,460,92,5
461,465,93,5
466,470,94,5
471,475,95,5
476,480,96,5
481,485,97,5
486,490,98,5
491,495,99,5
496,500,100,5
