"Feature","Item","Week","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Total"
"AWA",912,1,,,,,,,,0
"AWA",912,2,,,,,,,,0
"AWA",912,3,,,,,,,,0
"AWA",912,4,,,,,,,,0
"AWA",912,5,,,,,,,,0
"AWA",912,6,,,,,,,,0
"AWA",912,7,,,,,,,,0
"AWA",912,8,,,,,,,,0
"AWA",912,9,,,,,,,,0
"AWA",912,10,,,,,,,,0
"AWA",912,11,,,,,,,,0
"AWA",912,12,,,,,,,,0
"AWA",912,13,,,,,,,,0
"AWA",912,14,,,,,,,,0
"AWA",912,15,,,,,,,,0
"AWA",912,16,,,,,,,,0
"AWA",912,17,,,,,,,,0
"AWA",912,18,,,,,,,,0
"AWA",912,19,,,,,,,,0
"AWA",912,20,,,,,,,,0
"AWA",912,21,,,,,,,,0
"AWA",912,22,,,,,,,,0
"AWA",912,23,,,,,,,,0
"AWA",912,24,,,,,,,,0
"AWA",912,25,,,,,,,,0
"AWA",912,26,,,,,,,,0
"AWA",912,27,,,,,,,,0
"AWA",912,28,,,,,,,,0
"AWA",912,29,,,,,,,,0
"AWA",912,30,,,,,,,,0
"AWA",912,31,,,,,,,,0
"AWA",912,32,,,,,,,,0
"AWA",912,33,,,,,,,,0
"AWA",912,34,,,,,,,,0
"AWA",912,35,,,,,,,,0
"AWA",912,36,,,,,,,,0
"AWA",912,37,,,,,,,,0
"AWA",912,38,,,,,,,,0
"AWA",912,39,,,,,,,,0
"AWA",912,40,,,,,,,,0
"AWA",912,41,,,,,,,,0
"AWA",912,42,,,,,,,,0
"AWA",912,43,,,,,,,,0
"AWA",912,44,,,,,,,,0
"AWA",912,45,,,,,,,,0
"AWA",912,46,,,,,,,,0
"AWA",912,47,,,,,,,,0
"AWA",912,48,,,,,,,,0
"AWA",912,49,,,,,,,,0
"AWA",912,50,,,,,,,,0
"AWA",912,51,,,,,,,,0
"AWA",912,52,,,,,,,,0
"BF1",101,18,,,,,,,,0
"BF1",101,20,,,,,,,,0
"BF1",101,22,,,,,,,,0
"BF1",101,24,,,,,,,,0
"BF1",101,26,,,,,,,,0
"BF1",101,28,,,,,,,,0
"BF1",101,30,,,,,,,,0
"BF1",101,32,,,,,,,,0
"BF1",101,34,,,,,,,,0
"BF1",101,36,,,,,,,,0
"BF1",101,38,,,,,,,,0
"BF1",101,40,,,,,,,,0
"BF1",237,4,,,,,,,,0
"BF1",237,8,,,,,,,,0
"BF1",237,12,,,,,,,,0
"BF1",237,14,,,,,,,,0
"BF1",237,16,,,,,,,,0
"BF1",237,18,,,,,,,,0
"BF1",237,20,,,,,,,,0
"BF1",237,22,,,,,,,,0
"BF1",237,24,,,,,,,,0
"BF1",237,26,,,,,,,,0
"BF1",237,28,,,,,,,,0
"BF1",237,30,,,,,,,,0
"BF1",237,32,,,,,,,,0
"BF1",237,34,,,,,,,,0
"BF1",237,36,,,,,,,,0
"BF1",237,40,,,,,,,,0
"BF1",237,44,,,,,,,,0
"BF1",237,48,,,,,,,,0
"BF1",237,52,,,,,,,,0
"BG1",2110,14,,,,,,,,0
"BG1",2110,17,,,,,,,,0
"BG1",2110,20,,,,,,,,0
"BG1",2110,23,,,,,,,,0
"BG1",2110,26,,,,,,,,0
"BG1",2110,29,,,,,,,,0
"BG1",2110,32,,,,,,,,0
"BG1",2110,35,,,,,,,,0
"BG1",2110,38,,,,,,,,0
"BG2",2111,14,,,,,,,,0
"BG2",2111,17,,,,,,,,0
"BG2",2111,20,,,,,,,,0
"BG2",2111,23,,,,,,,,0
"BG2",2111,26,,,,,,,,0
"BG2",2111,29,,,,,,,,0
"BG2",2111,32,,,,,,,,0
"BG2",2111,35,,,,,,,,0
"BG2",2111,38,,,,,,,,0
"BH1",101,18,,,,,,,,0
"BH1",101,20,,,,,,,,0
"BH1",101,22,,,,,,,,0
"BH1",101,24,,,,,,,,0
"BH1",101,26,,,,,,,,0
"BH1",101,28,,,,,,,,0
"BH1",101,30,,,,,,,,0
"BH1",101,32,,,,,,,,0
"BH1",101,34,,,,,,,,0
"BH1",101,36,,,,,,,,0
"BH1",101,38,,,,,,,,0
"BH1",101,40,,,,,,,,0
"BH1",306,14,,,,,,,,0
"BH1",306,17,,,,,,,,0
"BH1",306,20,,,,,,,,0
"BH1",306,23,,,,,,,,0
"BH1",306,26,,,,,,,,0
"BH1",306,29,,,,,,,,0
"BH1",306,32,,,,,,,,0
"BH1",306,35,,,,,,,,0
"BH1",306,38,,,,,,,,0
"BR1",101,18,,,,,,,,0
"BR1",101,20,,,,,,,,0
"BR1",101,22,,,,,,,,0
"BR1",101,24,,,,,,,,0
"BR1",101,26,,,,,,,,0
"BR1",101,28,,,,,,,,0
"BR1",101,30,,,,,,,,0
"BR1",101,32,,,,,,,,0
"BR1",101,34,,,,,,,,0
"BR1",101,36,,,,,,,,0
"BR1",101,38,,,,,,,,0
"BR1",101,40,,,,,,,,0
"BR1",204,14,,,,,,,,0
"BR1",204,17,,,,,,,,0
"BR1",204,20,,,,,,,,0
"BR1",204,23,,,,,,,,0
"BR1",204,26,,,,,,,,0
"BR1",204,29,,,,,,,,0
"BR1",204,32,,,,,,,,0
"BR1",204,35,,,,,,,,0
"BR1",204,38,,,,,,,,0
"BR2",3036,14,,,,,,,,0
"BR2",3036,17,,,,,,,,0
"BR2",3036,20,,,,,,,,0
"BR2",3036,23,,,,,,,,0
"BR2",3036,26,,,,,,,,0
"BR2",3036,29,,,,,,,,0
"BR2",3036,32,,,,,,,,0
"BR2",3036,35,,,,,,,,0
"BR2",3036,38,,,,,,,,0
"BS1",101,18,,,,,,,,0
"BS1",101,20,,,,,,,,0
"BS1",101,22,,,,,,,,0
"BS1",101,24,,,,,,,,0
"BS1",101,26,,,,,,,,0
"BS1",101,28,,,,,,,,0
"BS1",101,30,,,,,,,,0
"BS1",101,32,,,,,,,,0
"BS1",101,34,,,,,,,,0
"BS1",101,36,,,,,,,,0
"BS1",101,38,,,,,,,,0
"BS1",101,40,,,,,,,,0
"BS1",154,14,,,,,,,,0
"BS1",154,17,,,,,,,,0
"BS1",154,20,,,,,,,,0
"BS1",154,23,,,,,,,,0
"BS1",154,26,,,,,,,,0
"BS1",154,29,,,,,,,,0
"BS1",154,32,,,,,,,,0
"BS1",154,35,,,,,,,,0
"BS1",154,38,,,,,,,,0
"BV2",3036,14,,,,,,,,0
"BV2",3036,17,,,,,,,,0
"BV2",3036,20,,,,,,,,0
"BV2",3036,23,,,,,,,,0
"BV2",3036,26,,,,,,,,0
"BV2",3036,29,,,,,,,,0
"BV2",3036,32,,,,,,,,0
"BV2",3036,35,,,,,,,,0
"BV2",3036,38,,,,,,,,0
"BZG",624,1,1,1,1,1,1,1,,6
"BZG",624,2,1,1,1,1,1,1,1,7
"BZG",624,3,1,1,1,1,1,1,1,7
"BZG",624,4,1,1,1,1,1,1,1,7
"BZG",624,5,1,1,1,1,1,1,1,7
"BZG",624,6,1,1,1,1,1,1,1,7
"BZG",624,7,1,1,1,1,1,1,1,7
"BZG",624,8,1,1,1,1,1,1,1,7
"BZG",624,9,1,1,1,1,1,1,1,7
"BZG",624,10,1,1,1,1,1,1,1,7
"BZG",624,11,1,1,1,1,1,1,1,7
"BZG",624,12,1,1,1,1,1,1,1,7
"BZG",624,13,1,,1,,1,,,3
"BZG",624,14,1,,1,,1,,,3
"BZG",624,15,1,,1,,1,,,3
"BZG",624,16,1,,1,,1,,,3
"BZG",624,17,1,,1,,1,,,3
"BZG",624,18,1,,1,,1,,,3
"BZG",624,19,1,,1,,1,,,3
"BZG",624,20,1,,1,,1,,,3
"BZG",624,21,1,,1,,1,,,3
"BZG",624,22,1,,1,,1,,,3
"BZG",624,23,1,,1,,1,,,3
"BZG",624,24,1,,1,,1,,,3
"BZG",624,25,1,,1,,1,,,3
"BZG",624,26,1,,1,,1,,,3
"BZG",624,27,1,,1,,1,,,3
"BZG",624,28,1,,1,,1,,,3
"BZG",624,29,1,,1,,1,,,3
"BZG",624,30,1,,1,,1,,,3
"BZG",624,31,1,,1,,1,,,3
"BZG",624,32,1,,1,,1,,,3
"BZG",624,33,1,,1,,1,,,3
"BZG",624,34,1,,1,,1,,,3
"BZG",624,35,1,,1,,1,,,3
"BZG",624,36,1,,1,,1,,,3
"BZG",624,37,1,,1,,1,,,3
"BZG",624,38,1,,1,,1,,,3
"BZG",624,39,1,,1,,1,,,3
"BZG",624,40,1,,1,,1,,,3
"BZG",624,41,1,1,1,1,1,1,1,7
"BZG",624,42,1,1,1,1,1,1,1,7
"BZG",624,43,1,1,1,1,1,1,1,7
"BZG",624,44,1,1,1,1,1,1,1,7
"BZG",624,45,1,1,1,1,1,1,1,7
"BZG",624,46,1,1,1,1,1,1,1,7
"BZG",624,47,1,1,1,1,1,1,1,7
"BZG",624,48,1,1,1,1,1,1,1,7
"BZG",624,49,1,1,1,1,1,1,1,7
"BZG",624,50,1,1,1,1,1,1,1,7
"BZG",624,51,1,1,1,1,1,1,1,7
"BZG",624,52,1,1,1,1,1,1,,6
"BZG",625,2,,,,,,,,0
"BZG",625,7,,,,,,,,0
"BZG",625,11,,,,,,,,0
"BZG",625,13,,,,,,,,0
"BZG",625,14,,,,,,,,0
"BZG",625,15,,,,,,,,0
"BZG",625,16,,,,,,,,0
"BZG",625,17,1,,1,,1,,,3
"BZG",625,18,1,,1,,1,,,3
"BZG",625,19,1,,1,,1,,,3
