"CustomerID","Company Name","Address Name","Address Number","Street","Village","Town","County","Postcode","Customer Contact","Customer Tel","Debtors No","Bin Location",,,,,,,,,"Agreement No","Refuse/ Recycling/Glass School/School Recycling/Schd.2 Refuse/Schd.2 Rec.","Bin Size","Bin Quantity","Cedar Code Abbreviations","Collection Schedule 
(per bin)","Round/ Day",,,,,,,"Commencement Date","Cancellation Date"
,,,,,,,,,,,,"business name","Address Name","Number","Street","Village ","Town","County ","Postcode","Branch Telephone Number",,,,,,,"Mon","Tue","Wed","Thurs","Fri","Sat ","Sun",,
26,"RSPB","The Lodge",,,,"Sandy","Bedfordshire","SG19 2DL",,,"EH1003537","RSPB","Titchwell Marsh Reserve",,"Main Road","Titchwell","King's Lynn","Norfolk","PE31 8BB","01485 210432",2272,"Schd.2 Refuse",1100,1,"1100-1, 1100-2 , CWTN - 1","2 empties per week","D1",,,,"T2",,,15/06/04,
,,,,,,,,,,,,,,,,,,,,,136682,"Schd.2 Rec",1100,1,"1100-12,  CWTN - 2","Fortnightly: except Xmas/New Year weeks","R1/WK1",,,,,,,01/04/08,
30,"Heacham Infants & Nursery School",,,"School Road","Heacham","King's Lynn","Norfolk","PE31 7DQ","Jane M Belfield Head Teacher","01485 570357","EH1007649",,,,,,,,,,93987,"Sch. Refuse",1100,1,"1100-5, CWTN -3","Term- time emptying (40 empties p.a.)",,,,,"T1",,,01/04/07,
,,,,,,,,,,,,,,,,,,,,,"93987 R","Sch.Recyc",1100,1,"1100-11, CWTN -4","Fortnighty - term-time ( 20 empties p.a.)",,,"R2/WK1",,,,,01/04/07,
31,"Sandringham & West Newton Primary School",,,"School Road","West Newton","King's Lynn","Norfolk","PE31 6AX",,"01485 540506","EH0957945",,,,,,,,,,1525,"Sch.Refuse",770,1,"770-6, CWTN -3","Term- time emptying (40 empties p.a.)",,,"D1",,,,,01/04/01,
,,,,,,,,,,,,,,,,,,,,,2379,"Sch.Recyc",240,4,"240-10, CWTN -4","Fortnightly - term-time (20 empties p.a.)",,,"R1/WK1",,,,,01/11/05,
33,"Heacham Junior School",,,"College Drive","Heacham","King's Lynn","Norfolk","PE31 7EJ",,"01485 571013","EH098116",,,,,,,,,,122765,"Sch.Refuse",1100,1,"1100-6,CWTN-3","Term- time emptying (40 empties p.a.)",,,,,"T1",,,01/04/07,
,,,,,,,,,,,,,,,,,,,,,"122765 R","Sch.Recyc",660,1,"660-10, CWTN-4","Fortnightly - term time (20 empties p.a.)",,,,"R2/WK1",,,,01/04/07,
,,,,,,,,,,,,,,,,,,,,,122765,"Sch.Recyc",1100,1,"1100-11","Fortnightly - term time (20 empties p.a.)",,,,"R2/WK1",,,,01/04/07,
34,"Brancaster Staithe Sailing Club","The Clubhouse",,"Harbour Way","Brancaster Staithe","King's Lynn","Norfolk","PE31 8BW",,"01485 210249","EH0949725",,,,,,,,,,153726,"Refuse",1100,1,"1100-3, 1100-4 x 25, CWTN-1","Weekly emptying 1 April - 20 October and 20-31 March
Additional weekly emptying 1 June - 9 September
Fortnightly emptying 21 October - 19 March","D5
WK2 (F)",,,,"T2 (XT)",,,26/05/09,
