RSPB|||01485 210432|
||||
Heacham Infants & Nursery School|Jane M Belfield (Head Teacher)|(01485)570357||
||||
Sandringham & West Newton Primary School||(01485)540506||
||||
Heacham Junior School||(01485)571013||
||||
||||
Brancaster Staithe Sailing Club||(01485)210249||
||||
Black Swan International Ltd|CLIVE HILL (Black Swan)|(01603)747409|(01485)533590|
||||
Lotus House|Mr. Peter Man Wai Lee|(01485)540032||
The Humble Pie|Mrs. S. Elston|(01328)738581||
The Old Bank Bistro|Lynn Handley||(01485)544080|
Emneth Nursery School|Jill Wharton (Headteacher)|(01945)582401|(01945)582401|
||||
||||
Abbotts Countrywide||(01553)765146||
Wormegay V C Primary School|Helen Bates Headteacher|(01553)810274||
||||
Mings House Takeaway||(01553)827581||
Park House||(01485)543000||
||||
Mr. P. J. Dennis||(01485)578203||
||||
Middleton Primary School|MR. G. M. STEEL - HEADTEACHER|(01553)840234||
||||
||||
Howard Infant & Nursery School|Ann De'ath Headteacher|(01553)774587||
||||
||||
||||
||||
Howard Junior School|Mrs G Robins- HEADTEACHER|(01553)774511||
||||
||||
The India Gate Restaurant|Mr. Aktar Miah|(01553)776489||
Bay Trading||(01582)723131|(01553)769198|
N-Grave|A.E. & Susan Sapey|(01945)881133||
Thomas Estates Ltd|||(01553)762094|
Fandabby Daisy Ltd t/as Flower Corner|Kate Shipp|(01553)774544||
A J's Garage|Mr. Andrew Groom|(01945)881912||
M.T.L.||(01553)828903||
Top Chef|Ms  Changda Li|(01553)772587||
Artertons|Mrs A Arterton|(01553)776659||
The Cottage Cattery|Steward McEwen|(01945)780027||
Footlights|Tina Rodgers|(01553)771166||
Anglia Planters|Andrew Turner|(01553)617444||
||||
G B Quality Foods|MR G R BOYCE|(01366)728512||
Drs. Millard & Partners||(01945)773671||
King's Lynn Press Ltd||(01553)773011||
KLFM Ltd||(01553)772777||
Perfect Choice|Mrs Diane Wilson|(01553)760915||
A.R. & H. R. Bitson|A. R. & H.R. Bitson|(01553)774760||
Borough Council of King's Lynn & West Norfolk||(01553)764888||
||||
Norfolk Learning Difficulties Services||(01553)773449||
Dodman Ltd||(01553)774755||
||||
||||
Souttar Services||(01553)671124||
Central, South & West Norfolk Magistrates' Court||(01553)770120||
||||
Gaywood Community Centre|Mrs J Deane|(01553)763638||
Golden Fish Bar|MR CLEMENS KIM LAI|(01553)766519||
Mr B S Khela|Mr B S Khela|(01553)770557||
||||
Mr P s Bisla|Mr Bisla|(01553)672978||
Omex Agriculture Ltd||(01526)398661|(01553)760011|
Pace Fuelcare Ltd||(01553)614844||
Ouse Amateur Sailing Club||||
Norfolk County Council  (Social Services)||(01553)669300||
||||
Gaywood Church Rooms||(01485)600615||
East  Of England  Ambulance NHS Trust||(01603)424255||
Norfolk county Council (Social Services)||(01553)679400||
Russet House Hotel|Mr. P. Philippou|(01553)773098||
Zenith Staybright Ltd||(01606)866500|(01553)766863|
R.J.M. Dental Laboratory||(01553)769101||
Abbotts Countrywide||(01702)333123|01553 765146|
||||
Farr Formes Ltd||(01553)762705||
||||
Lawtronic Ltd||(01553)765247||
Hardwick Road Garage||(01553)773321||
Dolland & Aitchison|Mr N Searle|(01553)767999||
Robson Associates|Tracy Johnson|(01216)322982||
Norfolk Fire & Rescue Service|||(01553)775163|
||||
Stephenson Smart|Ted Wilkinson|(01553)774104||
||||
Favorit Motor Co.||(01553)775620||
Gaunock Hotel Ltd||(01553)772959||
Planet Spuds||(01553)773221||
Smiths the Bakers (King's Lynn) Ltd||(01553)692993||
||||
Integrated Nursing Homes Ltd|John Rales (Financial Controller)|(01895)454754|(01553)691054|
King's Lynn Conservative Club Ltd||(01553)773230||
||||
London Road Veterinary Clinic||(01553)773168||
||||
Lynn Enterprises Ltd|Mr B Srikantha|(01553)774685||
Lowes House Takeaway|Mr Yee Chim|(01553)773179||
Denny's Fish & Chips|Mr D Chan|(01553)774684||
Nationwide Building Society||(01553)730000||
Youngs of Leicester Ltd|||(01553)760256|
Thomas Estates Ltd|||(01553)767236|
Oldbylands Ltd |Sandra Byles|(07888)743604||
Norwich & Peterborough Building Society||(01733)372356|(01553)763388|
Miss M. G. Hooker|Maria Hooker||(01553)772282|
Francis Wain Jewellers||(01553)774499||
King's Lynn Glass & Trimming||(01553)773531||
A R & J M Barton|A.R. & J. M. Barton|(01553)773536||
Palmer & Palmer Coffee Roasters||(01733)238595||
Silk Road Restaurant Ltd||(01553)770942||
||||
||||
||||
Flechane Ltd||(01553)771001||
Globe Bowling Club|Mr B Venemore (Secretary)|(01553)765287||
Norfolk County Council|Mr. David Williams|(01603)222717|(01553)669273|
||||
Davis, Simpson & Davis||(01553)761322||
Messrs. Colin, Saeed, Ramasamy & Patel||(01553)766135||
Mick Culey||(01553)773308||
Mr B Evans|Mr Barry Evans|(01553)762878||
Ward Gethin Solicitors||||
||||
Overtons Coachpainters||(01553)761774||
C.T.S.Security Ltd||(01553)765429||
The White Horse Public House|Mr. M. K. Hunter|(01553)763258||
A.D.R. Auto's Ltd||(01553)771331||
The Castle Gate|Mr S Barnfield|(01760)755577||
